Date;Equal Weights;Markowitz;Risk Parity;Goal-Based Investing;Benchmark (IBOVESPA)
2022-01-21;100721,5991308132;98829,82039455713;100721,5991308132;96355,41964140971;92365,21488465172
2022-01-24;100626,20951985913;99363,71054608254;100626,20951985913;96900,48827143818;91356,28714592163
2022-01-25;101249,78156881759;98266,16131238715;101249,78156881759;95964,76657951224;93130,81299227633
2022-01-26;101556,62382267497;97762,0789357331;101556,62382267497;95668,07947021107;94595,87780952477
2022-01-27;101382,58171867683;96786,13984649678;101382,58171867683;94710,43331000449;95224,97392896825
2022-01-28;101359,44720665005;98270,96112957933;101359,44720665005;95914,89396872626;94515,33315811353
2022-01-31;101819,2494772236;98717,1159602513;101819,2494772236;96311,42050894177;95286,86613478951
2022-02-01;102117,82066125573;98609,21687018056;102117,82066125573;96229,7127955899;95930,37550764342
2022-02-02;101735,43326260101;99277,66011974051;101735,43326260101;96831,12774648213;95094,40680983847
2022-02-03;101628,20747777741;99005,71519308006;101628,20747777741;96740,700656738;94700,16193714141
2022-02-04;101628,6396896428;98794,3616183345;101628,6396896428;96476,67487607697;95165,62523845471
2022-02-07;101323,76873319465;98193,3280683138;101323,76873319465;96072,90836204431;94954,5134679137
2022-02-08;101606,4148920167;98737,07266684546;101606,4148920167;96430,86263281314;95156,29901565972
2022-02-09;101876,09000800928;99227,30296965184;101876,09000800928;96750,6296519258;95348,75834061076
2022-02-10;101969,80761904157;98068,3186860798;101969,80761904157;95830,40839000224;96110,11725605583
2022-02-11;101864,36843836881;96641,53868212605;101864,36843836881;94716,10131569988;96290,70684290415
2022-02-14;101707,39011294974;95793,34277762719;101707,39011294974;94061,24439481286;96489,94887534245
2022-02-15;102247,24560944524;96249,95638993359;102247,24560944524;94462,20943861209;97213,15506117168
2022-02-16;102162,47736215922;95775,84902662422;102162,47736215922;94092,69861165897;97654,87888627958
2022-02-17;101657,17377415966;94933,36960946892;101657,17377415966;93454,82538643913;96253,40195172421
2022-02-18;100798,2023474873;93974,23203038042;100798,2023474873;92697,84561713142;95609,0447404344
2022-02-21;99966,57305070067;92261,21897756637;99966,57305070067;91345,01902281881;94724,74925178272
2022-02-22;99987,5960510737;91888,68856235265;99987,5960510737;91008,98450167818;95714,17670648695
2022-02-23;98963,3031659709;90619,09461277617;98963,3031659709;90015,44113023784;94964,68752914458
2022-02-24;99797,0493611872;92355,858809474;99797,0493611872;91376,17587948206;94611,98673980699
